You (T),You (A),You (L),Oswald (T),Oswald (A),Oswald (L),Martha (T),Martha (A),Martha (L),Sam (T),Sam (A),Sam (L),Terry (T),Terry (A),Terry (L)
35,23,23,7,48,22,27,44,46,43,63,33,7,37,24
37,23,23,7,48,22,28,46,49,43,63,34,7,37,24
37,23,23,7,48,22,28,46,49,43,63,34,7,37,24
39,23,23,7,48,22,29,48,52,43,63,34,7,37,25
41,23,23,7,48,22,29,53,53,43,63,34,7,37,26
41,23,23,7,48,22,29,53,53,43,63,34,7,37,26
43,23,23,7,48,22,30,53,55,43,63,34,8,37,28
45,23,23,7,48,22,31,53,56,43,63,34,8,37,28
47,23,23,7,48,22,32,55,59,43,63,34,8,37,29
49,23,23,7,48,22,33,57,62,43,63,34,8,37,30
51,23,23,7,48,22,34,59,65,43,63,34,8,37,31
53,23,23,7,48,22,35,61,68,43,63,34,8,37,32
55,23,23,7,48,22,36,61,70,43,63,34,9,37,34
57,23,23,7,48,22,37,61,72,43,63,34,10,37,36
59,23,23,7,48,22,38,61,74,43,63,34,11,37,38
61,23,23,8,48,24,39,61,76,43,63,34,11,37,38
63,23,23,8,48,24,40,61,78,44,63,36,11,37,38
63,23,23,8,48,24,40,61,78,44,63,36,11,37,38
65,23,23,8,48,25,40,66,79,44,63,36,11,37,38
67,23,23,8,48,25,40,71,80,44,63,37,11,37,38
69,23,23,8,48,25,40,76,81,44,63,37,11,37,39
71,23,23,8,48,25,40,81,82,44,63,37,11,37,39
73,23,23,8,48,25,40,86,83,44,63,37,11,37,40
75,23,23,8,48,26,40,91,84,44,63,37,11,37,40
77,23,23,8,48,27,40,96,85,44,63,37,11,37,40
79,23,23,8,48,28,40,99,86,44,63,37,11,37,40
81,23,23,8,48,28,40,99,87,44,63,37,11,37,41
83,23,23,8,48,28,40,99,88,44,63,37,11,37,42
85,23,23,8,48,28,40,99,89,44,63,38,11,37,42
87,23,23,8,48,28,40,99,90,44,63,39,11,37,42
89,23,23,8,48,28,40,99,91,44,63,40,11,37,42
91,23,23,8,48,28,40,99,92,44,63,41,11,37,42
91,23,23,8,48,28,40,99,92,44,63,41,11,37,42
93,23,23,8,53,29,40,99,93,44,63,41,11,37,42
95,23,23,8,58,30,40,99,94,44,63,41,11,37,42
97,23,23,8,63,31,40,99,95,44,63,41,11,37,42
99,23,23,8,68,32,40,99,96,44,63,41,11,37,42
99,23,23,8,68,32,40,99,97,44,63,41,11,42,43
99,23,23,8,68,32,40,99,98,44,63,41,11,47,44
99,23,23,8,68,32,40,99,99,44,63,41,11,52,45
99,23,23,8,68,32,40,99,99,44,63,41,11,57,46
99,23,23,8,68,32,40,99,99,44,68,42,11,57,46
99,23,23,8,68,32,40,99,99,44,73,43,11,57,46
99,23,23,8,68,32,40,99,99,44,78,44,11,57,46
99,23,23,8,68,32,40,99,99,44,83,45,11,57,46
99,23,23,1,64,32,40,99,99,44,83,45,11,57,46
99,23,23,1,64,32,40,99,99,44,83,45,11,57,46
99,23,23,1,64,32,41,99,99,45,83,47,11,57,46
99,23,23,1,64,32,42,99,99,46,83,49,11,57,46
99,23,23,1,64,32,42,99,99,46,83,49,11,57,46
99,23,23,1,64,32,43,99,99,47,83,51,11,57,46
99,23,23,1,64,32,44,99,99,48,83,53,11,57,46
99,23,23,1,64,32,45,99,99,49,83,55,11,57,46
99,23,23,2,64,33,46,99,99,49,83,55,11,57,46
99,23,23,2,64,33,46,99,99,49,83,55,11,57,46
99,23,23,3,64,34,47,99,99,49,83,55,11,57,46
99,23,23,3,64,34,48,99,99,49,83,56,11,57,46
99,23,23,3,64,34,49,99,99,49,83,57,11,57,46
99,23,23,3,64,34,50,99,99,49,83,58,11,57,46
99,23,23,3,64,34,50,99,99,49,83,58,11,57,46
99,23,23,3,64,34,50,99,99,49,83,58,11,57,46
99,23,23,3,64,34,50,99,99,49,83,58,11,57,46
