You (T),You (A),You (L),Oswald (T),Oswald (A),Oswald (L),Blair (T),Blair (A),Blair (L),Sam (T),Sam (A),Sam (L),Terry (T),Terry (A),Terry (L)
36,26,46,6,53,14,47,68,47,44,58,40,5,48,32
36,26,46,6,53,14,40,64,47,44,58,40,5,48,32
36,26,46,6,53,14,40,64,47,41,58,40,5,48,32
36,26,46,6,53,14,39,64,45,40,58,38,7,48,32
36,26,46,6,53,14,38,64,43,41,58,36,7,48,32
36,26,46,6,53,14,38,64,43,41,58,36,7,48,32
36,26,46,6,53,14,38,64,43,41,58,36,7,48,32
36,26,46,6,53,14,38,64,43,41,58,36,7,48,32
36,26,46,6,53,14,38,64,43,41,58,36,7,48,32
36,26,46,6,53,14,38,64,43,41,58,36,7,48,32
36,26,46,6,53,14,38,64,43,41,58,36,0,44,32
36,26,46,6,53,14,37,64,41,40,58,34,2,44,32
36,26,46,6,53,14,37,64,41,40,58,34,2,44,32
36,26,46,6,53,14,30,60,41,40,58,34,2,44,32
36,26,46,6,53,14,27,60,41,40,58,34,2,44,32
36,26,46,6,53,14,27,60,41,37,58,34,2,44,32
36,26,46,6,53,14,20,56,41,37,58,34,2,44,32
36,26,46,6,53,14,20,56,41,37,58,34,2,44,32
36,26,46,6,53,14,17,56,41,37,58,34,2,44,32
36,26,46,6,53,14,14,56,41,37,58,34,2,44,32
36,26,46,6,53,14,14,56,41,37,58,34,2,44,32
36,26,46,6,53,14,14,56,41,37,58,34,2,44,32
36,26,46,6,53,14,14,56,41,30,54,34,2,44,32
36,26,46,6,53,14,14,56,41,30,54,34,2,44,32
36,26,46,6,53,14,14,56,41,30,54,34,0,44,32
36,26,46,6,53,14,14,56,41,30,54,34,0,44,32
36,26,46,6,53,14,14,56,41,30,54,34,0,44,32
36,26,46,6,53,14,14,56,41,30,54,34,0,44,32
36,26,46,6,53,14,14,56,41,30,54,34,0,44,32
36,26,46,6,53,14,14,56,41,27,54,34,0,44,32
36,26,46,3,53,14,14,56,41,27,54,34,0,44,32
36,26,46,3,53,14,14,56,41,27,54,34,0,44,32
36,26,46,3,53,14,14,56,41,27,54,34,0,44,32
36,26,46,3,53,14,14,56,41,27,54,34,0,44,32
36,26,46,3,53,14,7,52,41,27,54,34,0,44,32
36,26,46,3,53,14,7,52,41,27,54,34,0,44,32
36,26,46,3,53,14,7,52,41,27,54,34,0,44,32
36,26,46,3,53,14,7,52,41,27,54,34,0,44,32
36,26,46,3,53,14,7,52,41,27,54,34,0,44,32
36,26,46,3,53,14,7,52,41,27,54,34,0,44,32
36,26,46,3,53,14,7,52,41,27,54,34,0,44,32
36,26,46,3,53,14,0,48,41,27,54,34,0,44,32
36,26,46,3,53,14,0,48,41,27,54,34,0,44,32
36,26,46,3,53,14,0,48,41,27,54,34,0,44,32
36,26,46,3,53,14,0,44,41,27,54,34,0,44,32
36,26,46,3,53,14,0,44,41,27,54,34,0,40,32
36,26,46,3,53,14,0,44,41,27,54,34,0,40,32
36,26,46,0,49,14,0,44,41,27,54,34,0,40,32
36,26,46,0,49,14,0,44,41,27,54,34,0,40,32
36,26,46,0,49,14,0,44,41,27,54,34,0,40,32
36,26,46,0,49,14,0,44,41,27,54,34,0,40,32
36,26,46,0,49,14,0,44,41,27,54,34,0,40,32
36,26,46,0,49,14,0,44,41,27,54,34,0,40,32
36,26,46,0,49,14,0,44,41,27,54,34,0,40,32
36,26,46,0,49,14,0,44,41,20,50,34,0,40,32
36,26,46,0,49,14,0,44,41,20,50,34,0,40,32
36,26,46,0,49,14,0,40,41,20,50,34,0,40,32
36,26,46,0,49,14,0,40,41,20,50,34,0,40,32
36,26,46,0,49,14,0,40,41,20,50,34,0,40,32
36,26,46,0,49,14,0,36,41,20,50,34,0,40,32
36,26,46,0,49,14,0,36,41,20,50,34,0,40,32
36,26,46,0,49,14,0,32,41,20,50,34,0,40,32
36,26,46,0,49,14,0,32,41,20,50,34,0,40,32
36,26,46,0,49,14,0,32,41,20,50,34,0,40,32
36,26,46,0,49,14,0,32,41,20,50,34,0,40,32
36,26,46,0,45,14,0,32,41,20,50,34,0,40,32
36,26,46,0,45,14,0,32,41,20,50,34,0,36,32
36,26,46,0,45,14,0,32,41,20,50,34,0,36,32
36,26,46,0,45,14,0,32,41,13,46,34,0,36,32
36,26,46,0,45,14,0,32,41,13,46,34,0,32,32
36,26,46,0,45,14,0,32,41,13,46,34,0,32,32
36,26,46,0,45,14,0,28,41,13,46,34,0,32,32
36,26,46,0,45,14,0,28,41,13,46,34,0,32,32
36,26,46,0,45,14,0,28,41,13,46,34,0,28,32
36,26,46,0,45,14,0,28,41,13,46,34,0,28,32
36,26,46,0,45,14,0,28,41,13,46,34,0,28,32
36,26,46,0,45,14,0,28,41,13,46,34,0,28,32
36,26,46,0,45,14,0,28,41,13,46,34,0,28,32
36,26,46,0,45,14,0,24,41,13,46,34,0,28,32
36,26,46,0,45,14,0,24,41,13,46,34,0,28,32
36,26,46,0,41,14,0,24,41,13,46,34,0,28,32
36,26,46,0,41,14,0,24,41,13,46,34,0,28,32
36,26,46,0,41,14,0,24,41,13,46,34,0,28,32
36,26,46,0,41,14,0,24,41,13,46,34,0,28,32
36,26,46,0,41,14,0,24,41,13,46,34,0,28,32
36,26,46,0,41,14,0,24,41,13,46,34,0,28,32
36,26,46,0,41,14,0,24,41,13,46,34,0,28,32
36,26,46,0,41,14,0,24,41,6,42,34,0,28,32
36,26,46,0,41,14,0,24,41,6,42,34,0,28,32
36,26,46,0,41,14,0,24,41,6,42,34,0,28,32
36,26,46,0,41,14,0,24,41,6,42,34,0,24,32
36,26,46,0,41,14,0,24,41,6,42,34,0,24,32
36,26,46,0,41,14,0,24,41,0,38,34,0,24,32
36,26,46,0,37,14,0,24,41,0,38,34,0,24,32
36,26,46,0,37,14,0,24,41,0,38,34,0,24,32
36,26,46,0,37,14,0,24,41,0,38,34,0,24,32
36,26,46,0,37,14,0,24,41,0,38,34,0,24,32
36,26,46,0,37,14,0,20,41,0,38,34,0,24,32
36,26,46,0,37,14,0,20,41,0,38,34,0,20,32
36,26,46,0,37,14,0,20,41,0,38,34,0,20,32
36,26,46,0,37,14,0,20,41,0,38,34,0,20,32
36,26,46,0,37,14,0,20,41,0,38,34,0,20,32
36,26,46,0,33,14,0,20,41,0,38,34,0,20,32
36,26,46,0,33,14,0,20,41,0,38,34,0,20,32
36,26,46,0,33,14,0,20,41,0,38,34,0,20,32
36,26,46,0,33,14,0,20,41,0,38,34,0,20,32
36,26,46,0,29,14,0,20,41,0,38,34,0,20,32
36,26,46,0,29,14,0,20,41,0,38,34,0,20,32
36,26,46,0,29,14,0,20,41,0,38,34,0,20,32
36,26,46,0,29,14,0,20,41,0,38,34,0,20,32
36,26,46,0,29,14,0,20,41,0,38,34,0,20,32
36,26,46,0,29,14,0,20,41,0,38,34,0,20,32
36,26,46,0,29,14,0,20,41,0,34,34,0,20,32
36,26,46,0,29,14,0,20,41,0,34,34,0,20,32
36,26,46,0,29,14,0,20,41,0,34,34,0,20,32
36,26,46,0,25,14,0,20,41,0,34,34,0,20,32
36,26,46,0,25,14,0,20,41,0,34,34,0,20,32
36,26,46,0,25,14,0,20,41,0,34,34,0,20,32
36,26,46,0,25,14,0,20,41,0,30,34,0,20,32
36,26,46,0,25,14,0,20,41,0,30,34,0,16,32
36,26,46,0,25,14,0,20,41,0,30,34,0,16,32
36,26,46,0,25,14,0,20,41,0,30,34,0,16,32
36,26,46,0,25,14,0,20,41,0,30,34,0,16,32
36,26,46,0,25,14,0,20,41,0,26,34,0,16,32
36,26,46,0,21,14,0,20,41,0,26,34,0,16,32
36,26,46,0,21,14,0,20,41,0,26,34,0,16,32
36,26,46,0,21,14,0,20,41,0,26,34,0,16,32
36,26,46,0,21,14,0,20,41,0,26,34,0,12,32
36,26,46,0,21,14,0,20,41,0,26,34,0,12,32
36,26,46,0,21,14,0,20,41,0,26,34,0,12,32
36,26,46,0,21,14,0,16,41,0,26,34,0,12,32
36,26,46,0,17,14,0,16,41,0,26,34,0,12,32
36,26,46,0,17,14,0,16,41,0,26,34,0,12,32
36,26,46,0,17,14,0,16,41,0,26,34,0,8,32
36,26,46,0,13,14,0,16,41,0,26,34,0,8,32
36,26,46,0,13,14,0,16,41,0,26,34,0,8,32
36,26,46,0,13,14,0,16,41,0,26,34,0,8,32
36,26,46,0,13,14,0,12,41,0,26,34,0,8,32
36,26,46,0,13,14,0,12,41,0,22,34,0,8,32
36,26,46,0,13,14,0,12,41,0,22,34,0,8,32
36,26,46,0,9,14,0,12,41,0,22,34,0,8,32
36,26,46,0,9,14,0,12,41,0,22,34,0,8,32
36,26,46,0,5,14,0,12,41,0,22,34,0,8,32
36,26,46,0,5,14,0,12,41,0,22,34,0,8,32
36,26,46,0,5,14,0,12,41,0,22,34,0,8,32
36,26,46,0,5,14,0,12,41,0,22,34,0,8,32
36,26,46,0,5,14,0,12,41,0,22,34,0,8,32
36,26,46,0,5,14,0,12,41,0,22,34,0,8,32
36,26,46,0,5,14,0,12,41,0,18,34,0,8,32
36,26,46,0,5,14,0,12,41,0,18,34,0,8,32
36,26,46,0,5,14,0,12,41,0,18,34,0,8,32
36,26,46,0,5,14,0,12,41,0,18,34,0,8,32
36,26,46,0,1,14,0,12,41,0,18,34,0,8,32
36,26,46,0,1,14,0,12,41,0,18,34,0,8,32
36,26,46,0,1,14,0,12,41,0,18,34,0,8,32
36,26,46,0,1,14,0,12,41,0,18,34,0,4,32
36,26,46,0,1,14,0,8,41,0,18,34,0,4,32
36,26,46,0,1,14,0,4,41,0,18,34,0,4,32
36,26,46,0,1,14,0,4,41,0,18,34,0,4,32
36,26,46,0,1,14,0,4,41,0,18,34,0,4,32
36,26,46,0,1,14,0,4,41,0,18,34,0,4,32
36,26,46,0,1,14,0,4,41,0,18,34,0,4,32
36,26,46,0,1,14,0,0,41,0,18,34,0,4,32
36,26,46,0,1,14,0,0,41,0,18,34,0,4,32
36,26,46,0,1,14,0,0,41,0,18,34,0,4,32
36,26,46,0,0,14,0,0,41,0,18,34,0,4,32
36,26,46,0,0,14,0,0,41,0,18,34,0,4,32
36,26,46,0,0,14,0,0,41,0,18,34,0,4,32
36,26,46,0,0,14,0,0,41,0,14,34,0,4,32
36,26,46,0,0,14,0,0,41,0,14,34,0,4,32
36,26,46,0,0,14,0,0,41,0,10,34,0,4,32
36,26,46,0,0,14,0,0,41,0,10,34,0,4,32
36,26,46,0,0,14,0,0,41,0,10,34,0,4,32
36,26,46,0,0,14,0,0,41,0,10,34,0,4,32
36,26,46,0,0,14,0,0,41,0,10,34,0,4,32
36,26,46,0,0,14,0,0,41,0,10,34,0,4,32
36,26,46,0,0,14,0,0,41,0,10,34,0,4,32
36,26,46,0,0,14,0,0,41,0,10,34,0,4,32
36,26,46,0,0,14,0,0,41,0,10,34,0,4,32
36,26,46,0,0,14,0,0,41,0,10,34,0,4,32
36,26,46,0,0,14,0,0,41,0,10,34,0,4,32
36,26,46,0,0,14,0,0,41,0,10,34,0,4,32
36,26,46,0,0,14,0,0,41,0,10,34,0,4,32
36,26,46,0,0,14,0,0,41,0,10,34,0,4,32
36,26,46,0,0,14,0,0,41,0,10,34,0,4,32
36,26,46,0,0,14,0,0,41,0,6,34,0,4,32
36,26,46,0,0,14,0,0,41,0,6,34,0,4,32
36,26,46,0,0,14,0,0,41,0,6,34,0,4,32
36,26,46,0,0,14,0,0,41,0,6,34,0,4,32
36,26,46,0,0,14,0,0,41,0,6,34,0,0,32
36,26,46,0,0,14,0,0,41,0,6,34,0,0,32
36,26,46,0,0,14,0,0,41,0,2,34,0,0,32
36,26,46,0,0,14,0,0,41,0,2,34,0,0,32
36,26,46,0,0,14,0,0,41,0,2,34,0,0,32
36,26,46,0,0,14,0,0,41,0,2,34,0,0,32
36,26,46,0,0,14,0,0,41,0,2,34,0,0,32
36,26,46,0,0,14,0,0,41,0,2,34,0,0,32
36,26,46,0,0,14,0,0,41,0,2,34,0,0,32
36,26,46,0,0,14,0,0,41,0,2,34,0,0,32
36,26,46,0,0,14,0,0,41,0,2,34,0,0,32
36,26,46,0,0,14,0,0,41,0,2,34,0,0,32
