You (T),You (A),You (L),Blair (T),Blair (A),Blair (L),Martha (T),Martha (A),Martha (L),Sam (T),Sam (A),Sam (L),Terry (T),Terry (A),Terry (L)
32,28,68,39,52,84,31,50,61,19,43,47,16,38,62
32,28,68,39,52,84,28,50,61,19,43,47,16,38,62
32,28,68,39,52,84,28,50,61,16,43,47,16,38,62
32,28,68,39,52,84,25,50,61,16,43,47,16,38,62
32,28,68,39,52,84,18,46,61,16,43,47,16,38,62
32,28,68,39,52,84,15,46,61,16,43,47,16,38,62
32,28,68,39,52,84,15,46,61,16,43,47,16,38,62
32,28,68,39,52,84,15,46,61,16,43,47,16,38,62
32,28,68,39,52,84,15,46,61,16,43,47,13,38,62
32,28,68,39,52,84,15,46,61,16,43,47,13,38,62
32,28,68,39,52,84,15,46,61,16,43,47,13,38,62
32,28,68,39,52,84,15,46,61,16,43,47,13,38,62
32,28,68,39,52,84,15,46,61,16,43,47,13,38,62
32,28,68,39,57,85,15,46,61,18,43,47,13,38,63
32,28,68,39,57,85,15,46,61,18,43,47,13,38,63
32,28,68,39,57,85,15,46,61,18,43,47,13,38,63
32,28,68,39,57,85,15,46,61,18,43,47,13,38,63
32,28,68,39,57,85,15,46,61,18,43,47,13,38,63
32,28,68,39,57,85,15,46,61,18,43,47,13,38,63
32,28,68,39,57,85,15,46,61,18,43,47,13,38,63
32,28,68,39,57,85,15,46,61,15,43,47,13,38,63
32,28,68,39,57,85,15,46,61,15,43,47,13,38,63
32,28,68,39,57,85,15,46,61,15,43,47,13,38,63
32,28,68,39,57,85,12,46,61,15,43,47,13,38,63
32,28,68,39,57,85,12,46,61,15,43,47,13,38,63
32,28,68,39,57,85,12,46,61,15,43,47,13,38,63
32,28,68,39,57,85,12,46,61,15,43,47,13,38,63
32,28,68,39,57,85,12,46,61,15,43,47,13,38,63
32,28,68,39,57,85,12,46,61,15,43,47,13,38,63
32,28,68,39,57,85,12,46,61,15,43,47,13,38,63
32,28,68,39,57,85,9,46,61,15,43,47,13,38,63
32,28,68,39,57,85,9,46,61,15,43,47,13,38,63
32,28,68,39,57,85,9,46,61,15,43,47,13,38,63
32,28,68,39,57,85,9,46,61,8,39,47,13,38,63
32,28,68,39,57,85,9,46,61,8,39,47,13,38,63
32,28,68,39,57,85,9,46,61,5,39,47,13,38,63
32,28,68,39,57,85,9,46,61,0,35,47,13,38,63
32,28,68,39,57,85,9,46,61,0,35,47,13,38,63
32,28,68,39,57,85,9,46,61,0,35,47,10,38,63
32,28,68,39,57,85,6,46,61,0,35,47,10,38,63
32,28,68,39,57,85,6,46,61,0,35,47,10,38,63
32,28,68,39,57,85,6,46,61,0,35,47,10,38,63
32,28,68,39,57,85,6,46,61,0,35,47,10,38,63
32,28,68,39,57,85,6,46,61,0,35,47,10,38,63
32,28,68,39,57,85,6,46,61,0,35,47,10,38,63
32,28,68,39,57,85,6,46,61,0,35,47,10,38,63
32,28,68,39,57,85,6,46,61,0,35,47,3,34,63
32,28,68,39,57,85,6,46,61,0,35,47,3,34,63
32,28,68,39,57,85,6,46,61,0,35,47,3,34,63
32,28,68,39,57,85,3,46,61,0,35,47,3,34,63
32,28,68,39,57,85,3,46,61,0,35,47,3,34,63
32,28,68,39,57,85,3,46,61,0,35,47,3,34,63
32,28,68,39,57,85,3,46,61,0,35,47,3,34,63
32,28,68,39,57,85,3,46,61,0,35,47,3,34,63
32,28,68,39,57,85,3,46,61,0,35,47,3,34,63
32,28,68,39,57,85,3,46,61,0,35,47,3,34,63
32,28,68,39,57,85,3,46,61,0,35,47,3,34,63
32,28,68,39,57,85,0,46,61,0,35,47,3,34,63
32,28,68,39,57,85,0,46,61,0,35,47,3,34,63
32,28,68,39,57,85,0,46,61,0,35,47,0,34,63
32,28,68,39,57,85,0,46,61,0,35,47,0,34,63
32,28,68,39,57,85,0,46,61,0,35,47,0,34,63
