You (T),You (A),You (L),Oswald (T),Oswald (A),Oswald (L),Blair (T),Blair (A),Blair (L),Martha (T),Martha (A),Martha (L),Terry (T),Terry (A),Terry (L)
27,38,54,0,75,42,50,67,80,16,46,47,5,46,48
27,38,54,0,75,42,50,67,80,16,46,47,0,42,48
27,38,54,0,75,42,50,67,80,16,46,47,0,42,48
27,38,54,0,75,42,50,67,80,16,46,47,0,42,48
27,38,54,0,75,42,50,67,80,16,46,47,0,42,48
27,38,54,0,75,42,50,67,80,16,46,47,0,42,48
27,38,54,0,75,42,50,67,80,16,46,47,0,42,48
27,38,54,0,75,42,50,67,80,16,46,47,0,42,48
27,38,54,0,75,42,50,67,80,9,42,47,0,42,48
27,38,54,0,75,42,50,67,80,9,42,47,0,42,48
27,38,54,0,75,42,50,67,80,9,42,47,0,42,48
27,38,54,0,75,42,50,67,80,9,42,47,0,42,48
27,38,54,0,75,42,50,67,80,9,42,47,0,38,48
27,38,54,0,75,42,50,67,80,9,42,47,0,38,48
27,38,54,0,75,42,50,67,80,9,42,47,0,38,48
27,38,54,0,75,42,50,67,80,9,42,47,0,38,48
27,38,54,0,75,42,50,67,80,9,42,47,0,38,48
27,38,54,0,75,42,50,67,80,9,42,47,0,38,48
27,38,54,0,75,42,50,67,80,9,42,47,0,38,48
27,38,54,0,75,42,50,67,80,9,42,47,0,34,48
27,38,54,0,75,42,50,67,80,2,38,47,0,34,48
27,38,54,0,75,42,50,67,80,2,38,47,0,30,48
27,38,54,0,75,42,50,67,80,2,38,47,0,30,48
27,38,54,0,75,42,50,67,80,2,38,47,0,30,48
27,38,54,0,75,42,50,67,80,2,38,47,0,30,48
27,38,54,0,75,42,50,67,80,0,34,47,0,30,48
27,38,54,0,75,42,50,67,80,0,34,47,0,30,48
27,38,54,0,75,42,50,67,80,0,30,47,0,30,48
27,38,54,0,75,42,50,67,80,0,30,47,0,30,48
27,38,54,0,75,42,50,67,80,0,30,47,0,30,48
27,38,54,0,75,42,50,67,80,0,30,47,0,30,48
27,38,54,0,71,42,50,67,80,0,30,47,0,30,48
27,38,54,0,71,42,50,67,80,0,26,47,0,30,48
27,38,54,0,71,42,50,67,80,0,26,47,0,30,48
27,38,54,0,71,42,50,67,80,0,26,47,0,30,48
27,38,54,0,71,42,50,67,80,0,22,47,0,30,48
27,38,54,0,71,42,50,67,80,0,22,47,0,30,48
27,38,54,0,71,42,43,63,80,0,22,47,0,30,48
27,38,54,0,71,42,43,63,80,0,22,47,0,30,48
27,38,54,0,67,42,43,63,80,0,22,47,0,30,48
27,38,54,0,67,42,43,63,80,0,22,47,0,30,48
27,38,54,0,67,42,43,63,80,0,22,47,0,30,48
27,38,54,0,67,42,43,63,80,0,22,47,0,30,48
27,38,54,0,67,42,43,63,80,0,22,47,0,30,48
27,38,54,0,63,42,43,63,80,0,22,47,0,30,48
27,38,54,0,63,42,43,63,80,0,22,47,0,30,48
27,38,54,2,63,42,43,58,79,0,22,47,0,30,47
27,38,54,2,63,42,43,58,79,0,22,47,0,30,47
27,38,54,2,63,42,43,58,79,0,22,47,0,26,47
27,38,54,2,63,42,43,58,79,0,22,47,0,22,47
27,38,54,2,63,42,43,58,79,0,18,47,0,22,47
27,38,54,2,63,42,43,58,79,0,18,47,0,22,47
27,38,54,2,63,42,36,54,79,0,18,47,0,22,47
27,38,54,2,63,42,36,54,79,0,18,47,0,22,47
27,38,54,2,63,42,36,54,79,0,18,47,0,22,47
27,38,54,2,63,42,36,54,79,0,14,47,0,22,47
27,38,54,2,63,42,36,54,79,0,14,47,0,22,47
27,38,54,2,63,42,36,54,79,0,10,47,0,22,47
27,38,54,0,59,42,36,54,79,0,10,47,0,22,47
27,38,54,0,59,42,36,54,79,0,10,47,0,22,47
27,38,54,0,59,42,36,54,79,0,10,47,0,22,47
27,38,54,0,59,42,36,54,79,0,10,47,0,22,47
27,38,54,0,59,42,36,54,79,0,10,47,0,22,47
27,38,54,0,59,42,36,54,79,0,10,47,0,22,47
27,38,54,0,59,42,36,54,79,0,10,47,0,18,47
27,38,54,0,59,42,36,54,79,0,10,47,0,18,47
27,38,54,0,59,42,36,54,79,0,10,47,0,18,47
27,38,54,0,59,42,36,54,79,0,10,47,0,18,47
27,38,54,0,59,42,36,54,79,0,10,47,0,18,47
27,38,54,0,59,42,36,54,79,0,10,47,0,18,47
27,38,54,0,59,42,36,54,79,0,10,47,0,14,47
27,38,54,0,59,42,36,54,79,0,10,47,0,14,47
27,38,54,0,59,42,36,54,79,0,6,47,0,14,47
27,38,54,0,59,42,29,50,79,0,6,47,0,14,47
27,38,54,0,59,42,29,50,79,0,2,47,0,14,47
27,38,54,0,55,42,29,50,79,0,2,47,0,14,47
27,38,54,0,55,42,29,50,79,0,2,47,0,14,47
27,38,54,0,55,42,29,50,79,0,0,47,0,14,47
27,38,54,0,55,42,29,50,79,0,0,47,0,14,47
27,38,54,0,55,42,29,50,79,0,0,47,0,14,47
27,38,54,0,55,42,29,50,79,0,0,47,0,14,47
27,38,54,0,55,42,22,46,79,0,0,47,0,14,47
27,38,54,0,55,42,22,46,79,0,0,47,0,14,47
27,38,54,0,55,42,22,46,79,0,0,47,0,14,47
27,38,54,0,55,42,22,46,79,0,0,47,0,14,47
27,38,54,0,55,42,22,46,79,0,0,47,0,14,47
27,38,54,0,55,42,22,46,79,0,0,47,0,14,47
27,38,54,0,55,42,22,46,79,0,0,47,0,14,47
27,38,54,0,55,42,22,46,79,0,0,47,0,14,47
