You (T),You (A),You (L),Oswald (T),Oswald (A),Oswald (L),Blair (T),Blair (A),Blair (L),Martha (T),Martha (A),Martha (L),Sam (T),Sam (A),Sam (L)
32,17,37,10,43,14,68,74,52,24,46,35,63,67,32
32,17,37,10,43,14,68,74,52,24,46,35,63,67,32
32,17,37,10,43,14,68,74,52,24,46,35,63,67,32
32,17,37,10,43,14,68,74,52,24,46,35,63,67,32
32,17,37,10,43,14,65,74,52,24,46,35,63,67,32
32,17,37,10,43,14,65,74,52,24,46,35,56,63,32
32,17,37,10,43,14,65,74,52,24,46,35,53,63,32
32,17,37,10,43,14,65,74,52,24,46,35,46,59,32
32,17,37,10,43,14,62,74,52,24,46,35,46,59,32
32,17,37,10,43,14,62,74,52,24,46,35,46,59,32
32,17,37,10,43,14,62,74,52,24,46,35,46,59,32
32,17,37,10,43,14,62,74,52,24,46,35,46,59,32
32,17,37,10,43,14,62,74,52,24,46,35,46,59,32
32,17,37,10,43,14,62,74,52,24,46,35,46,59,32
32,17,37,10,43,14,62,74,52,24,46,35,46,59,32
32,17,37,10,43,14,59,74,52,24,46,35,46,59,32
32,17,37,10,43,14,59,74,52,24,46,35,46,59,32
32,17,37,10,43,14,59,74,52,24,46,35,46,59,32
32,17,37,7,43,14,59,74,52,24,46,35,46,59,32
32,17,37,7,43,14,59,74,52,24,46,35,46,59,32
32,17,37,7,43,14,59,74,52,24,46,35,46,59,32
32,17,37,7,43,14,59,74,52,24,46,35,46,59,32
32,17,37,7,43,14,59,74,52,24,46,35,46,59,32
32,17,37,7,43,14,59,74,52,24,46,35,39,55,32
32,17,37,7,43,14,59,74,52,24,46,35,39,55,32
32,17,37,7,43,14,59,74,52,24,46,35,39,55,32
32,17,37,7,43,14,59,74,52,21,46,35,39,55,32
32,17,37,7,43,14,59,74,52,21,46,35,39,55,32
32,17,37,7,43,14,59,74,52,21,46,35,39,55,32
32,17,37,4,43,14,59,74,52,21,46,35,39,55,32
32,17,37,4,43,14,52,70,52,21,46,35,39,55,32
32,17,37,4,43,14,52,70,52,18,46,35,39,55,32
32,17,37,4,43,14,52,70,52,18,46,35,39,55,32
32,17,37,6,43,14,53,70,54,19,46,37,39,55,32
32,17,37,6,43,14,53,70,54,19,46,37,36,55,32
32,17,37,6,43,14,53,70,54,19,46,37,36,55,32
